id;client_id;card_brand;card_type;card_number;expires;cvv;has_chip;num_cards_issued;credit_limit;acct_open_date;year_pin_last_changed;;
744;1711;Visa;Debit;4595831603224640;Thg5-23;689;NO;2;$17480;Thg1-20;2020;;
5559;1116;Mastercard;Debit;5341049613275150;Thg9-21;396;YES;2;$26546;Thg11-09;2009;;
4905;1116;Mastercard;Debit;5668831527649350;Thg1-21;356;YES;1;$23253;Thg9-17;2017;;
79;1116;Visa;Credit;4400056931148230;Thg2-21;497;YES;1;$16100;Thg1-05;2014;;
301;1116;Visa;Credit;4808554251869440;Thg2-21;921;YES;2;$8700;Thg1-12;2012;;
3115;1116;Mastercard;Debit;5224739362243610;Thg1-19;922;YES;1;$29333;Thg5-12;2012;;
3880;1752;Mastercard;Debit;5294178176133530;Thg7-24;265;YES;2;$9496;Thg7-09;2012;;
1766;192;Visa;Debit;4857799018106610;Thg7-21;930;YES;1;$25499;Thg2-20;2020;;
1767;192;Visa;Debit;4324062360619920;Thg2-20;358;YES;1;$18641;Thg2-20;2020;;
745;640;Visa;Debit;4852639114720720;Thg5-23;995;YES;1;$26019;Thg1-20;2020;;
1459;1679;Mastercard;Debit;5656383455895230;Thg1-21;547;YES;1;$25845;Thg2-20;2020;;
138;1094;Visa;Debit;4556928160477220;Thg6-23;64;YES;2;$2365;Thg1-07;2009;;
3755;1094;Mastercard;Debit;5515782790823580;Thg6-23;419;YES;2;$18684;Thg7-06;2017;;
1768;1094;Visa;Credit;4508388296516450;Thg2-21;364;NO;2;$7400;Thg2-20;2020;;
5924;1590;Mastercard;Debit;5548265564669330;Thg12-24;145;YES;2;$4147;Thg12-08;2016;;
6074;1660;Visa;Debit (Prepaid);4986270376099440;Thg4-22;385;YES;1;$76;Thg12-12;2012;;
5923;1660;Discover;Credit;6726060094896110;Thg1-09;105;NO;1;$4700;Thg12-08;2014;;
4223;1660;Visa;Credit;4157109762296140;Thg6-21;433;YES;2;$5800;Thg8-07;2011;;
4455;1660;Mastercard;Debit;5231462717450520;Thg3-24;754;YES;2;$12082;Thg8-16;2016;;
3234;1660;Mastercard;Credit;5074836567307560;Thg3-23;741;NO;2;$6000;Thg6-02;2010;;
1005;1660;Visa;Debit;4986369179342270;Thg11-09;367;YES;1;$620;Thg2-02;2014;;
151;1747;Mastercard;Debit;5892013969159900;Thg8-22;879;YES;1;$14499;Thg1-08;2008;;
4198;1747;Mastercard;Debit;5179157151686140;Thg7-23;457;YES;2;$12332;Thg8-07;2009;;
4403;1747;Mastercard;Debit;5569640141329520;Thg9-24;904;YES;1;$18424;Thg8-13;2013;;
4120;1747;Visa;Credit;4708914311449290;Thg7-23;149;NO;1;$15400;Thg8-03;2008;;
4224;1747;Visa;Debit;4795724941278910;Thg2-22;136;YES;2;$14548;Thg8-07;2013;;
4895;1747;Mastercard;Credit;5300159511214990;Thg12-16;740;YES;2;$10100;Thg9-16;2016;;
1028;153;Discover;Credit;6580244636542190;Thg4-11;416;YES;1;$11200;Thg2-04;2008;;
5956;153;Mastercard;Debit;5032457975030960;Thg10-24;240;YES;2;$20291;Thg12-09;2011;;
107;153;Visa;Debit;4382324870900900;Thg8-18;852;YES;1;$32092;Thg1-06;2010;;
440;153;Mastercard;Debit;5456808094753900;Thg2-20;217;YES;1;$20463;Thg1-20;2020;;
746;429;Visa;Debit;4465362453388900;Thg8-22;738;YES;1;$15802;Thg1-20;2020;;
1769;429;Visa;Debit;4668447208616690;Thg2-20;314;NO;2;$4612;Thg2-20;2020;;
421;429;Discover;Credit;6377595394803320;Thg7-20;675;YES;2;$19900;Thg1-20;2020;;
974;511;Mastercard;Debit (Prepaid);5117090980312400;Thg10-20;42;YES;1;$73;Thg2-00;2012;;
4707;511;Mastercard;Debit;5377858405611170;Thg1-24;24;YES;1;$11858;Thg9-09;2010;;
7;511;Mastercard;Debit;5585238056278280;Thg3-05;749;YES;1;$9664;Thg1-98;2011;;
2212;511;Mastercard;Debit;5355281784290560;Thg6-20;810;YES;1;$8367;Thg3-09;2009;;
1038;511;Visa;Credit;4150093118072730;Thg6-22;135;YES;2;$6100;Thg2-04;2009;;
1460;309;Mastercard;Debit;5979295728871780;Thg2-20;630;YES;3;$9944;Thg2-20;2020;;
747;309;Visa;Credit;4473643731469830;Thg1-20;771;YES;1;$7900;Thg1-20;2020;;
1770;309;Visa;Credit;4800116569994470;Thg12-20;201;YES;1;$5600;Thg2-20;2020;;
748;777;Visa;Debit;4832328468851060;Thg8-23;580;YES;1;$68400;Thg1-20;2020;;
441;777;Mastercard;Debit;5278075482033390;Thg4-23;437;YES;2;$77237;Thg1-20;2020;;
3679;1946;Visa;Debit;4869845530765330;Thg8-24;701;YES;2;$4488;Thg7-02;2015;;
5701;1946;Visa;Credit;4231526239204030;Thg2-20;499;YES;2;$12500;Thg11-14;2014;;
4510;1674;Mastercard;Debit;5813611925507600;Thg12-20;734;YES;2;$23432;Thg9-01;2008;;
2873;1674;Amex;Credit;366520954874839;Thg5-22;447;YES;2;$8800;Thg5-05;2011;;
1461;482;Mastercard;Credit;5392697458480960;Thg2-20;886;YES;2;$12100;Thg2-20;2020;;
442;877;Mastercard;Debit;5048151330736420;Thg2-20;931;YES;1;$9708;Thg1-20;2020;;
3877;877;Amex;Credit;371643368691556;Thg11-21;683;YES;2;$12000;Thg7-09;2011;;
2296;877;Mastercard;Debit;5700734711260260;Thg11-23;230;YES;1;$11973;Thg3-12;2012;;
5048;128;Mastercard;Debit;5389442391430670;Thg2-22;658;YES;2;$13601;Thg10-06;2014;;
1462;128;Mastercard;Credit;5079116875907420;Thg1-24;849;YES;2;$7800;Thg2-20;2020;;
4269;775;Visa;Debit;4390425683290560;Thg10-23;790;YES;2;$17816;Thg8-08;2016;;
5188;1536;Mastercard;Debit;5217568630125700;Thg3-21;625;NO;2;$17707;Thg10-10;2010;;
2874;1536;Amex;Credit;397856635669220;Thg11-20;2;YES;1;$9500;Thg5-05;2009;;
3041;140;Mastercard;Debit;5529182104663860;Thg1-22;182;YES;1;$19110;Thg5-10;2011;;
5312;140;Mastercard;Debit;5489017664251280;Thg8-23;196;YES;1;$13428;Thg10-16;2016;;
4150;140;Mastercard;Debit;5793675314684780;Thg6-22;43;YES;1;$24608;Thg8-05;2009;;
152;140;Mastercard;Debit;5845373196638990;Thg9-22;111;YES;1;$13441;Thg1-08;2011;;
443;1884;Mastercard;Debit (Prepaid);5750288075891800;Thg2-20;788;YES;2;$74;Thg1-20;2020;;
3377;1874;Mastercard;Debit;5429789020188280;Thg10-12;674;YES;1;$17872;Thg6-08;2008;;
5789;1874;Mastercard;Credit;5301114615829910;Thg9-22;425;YES;1;$12900;Thg12-03;2010;;
2106;1874;Mastercard;Debit;5571104183564020;Thg5-24;52;YES;2;$25264;Thg3-06;2020;;
2078;1874;Mastercard;Debit;5401948301255030;Thg12-22;920;YES;2;$20634;Thg3-05;2007;;
5866;1310;Visa;Credit;4295364044956970;Thg4-07;656;YES;2;$12200;Thg12-06;2010;;
173;1310;Visa;Credit;4737484014371340;Thg2-10;221;YES;2;$5500;Thg1-08;2008;;
1771;1689;Visa;Credit;4509365132510760;Thg3-20;281;NO;2;$6600;Thg2-20;2020;;
6132;1689;Mastercard;Debit;5068255294282300;Thg11-20;890;YES;1;$25815;Thg12-17;2017;;
327;379;Amex;Credit;354813103334804;Thg6-21;527;YES;2;$8400;Thg1-14;2014;;
2019;379;Mastercard;Debit;5910929635230860;Thg2-20;525;YES;1;$21628;Thg3-01;2008;;
3881;379;Mastercard;Debit;5400182448188960;Thg10-21;412;YES;1;$24232;Thg7-09;2009;;
1166;34;Mastercard;Debit;5039048842448180;Thg11-23;339;YES;2;$10775;Thg2-09;2010;;
3342;34;Mastercard;Debit (Prepaid);5672012369002300;Thg2-20;598;YES;2;$105;Thg6-07;2013;;
5622;822;Visa;Credit;4336733185475860;Thg1-21;221;NO;2;$7100;Thg11-10;2010;;
5424;822;Mastercard;Debit;5985582173054290;Thg7-24;951;YES;1;$29351;Thg11-05;2007;;
2558;822;Mastercard;Debit;5281056728185170;Thg3-20;835;YES;2;$15125;Thg4-08;2012;;
5385;822;Mastercard;Credit;5615660494634700;Thg11-21;865;YES;2;$8000;Thg11-03;2008;;
5596;822;Mastercard;Debit (Prepaid);5314878099448740;Thg5-11;994;YES;1;$83;Thg11-10;2010;;
3991;1499;Amex;Credit;311095486859536;Thg1-24;536;YES;2;$23700;Thg7-12;2012;;
6126;1780;Visa;Credit;4624747592911120;Thg2-24;986;YES;2;$700;Thg12-16;2016;;
3756;1806;Mastercard;Debit;5595562388674400;Thg7-24;594;YES;2;$7488;Thg7-06;2016;;
971;811;Visa;Credit;4171022488649330;Thg1-02;225;NO;1;$24900;Thg2-99;2010;;
2079;811;Mastercard;Debit;5246337038556760;Thg6-21;638;YES;2;$30971;Thg3-05;2020;;
387;811;Amex;Credit;399966116933253;Thg1-24;343;YES;1;$24400;Thg1-20;2020;;
444;811;Mastercard;Debit;5064137987234660;Thg2-20;599;YES;2;$53549;Thg1-20;2020;;
5277;811;Visa;Debit;4905540969337030;Thg9-18;573;YES;1;$53036;Thg10-13;2013;;
4358;811;Mastercard;Debit;5703849820939460;Thg12-24;300;YES;1;$35750;Thg8-11;2011;;
2318;811;Visa;Debit;4055403312631050;Thg7-21;902;YES;1;$33375;Thg3-13;2013;;
6019;1844;Visa;Debit (Prepaid);4587476056357150;Thg7-23;858;YES;2;$22;Thg12-10;2010;;
4421;1844;Discover;Credit;6521426249819190;Thg11-20;608;YES;1;$13100;Thg8-14;2014;;
3702;1844;Visa;Debit;4199712815274630;Thg10-24;440;YES;1;$16516;Thg7-03;2011;;
2854;1844;Mastercard;Credit;5172743861765170;Thg7-16;906;YES;1;$15700;Thg5-04;2011;;
4114;1844;Mastercard;Debit;5214643602729090;Thg5-24;474;YES;1;$21058;Thg8-03;2007;;
28;1852;Visa;Debit;4013876625955760;Thg10-23;543;YES;2;$36425;Thg1-02;2004;;
6127;1852;Visa;Debit (Prepaid);4966050979388900;Thg3-21;585;YES;2;$91;Thg12-16;2016;;
2477;1852;Mastercard;Credit;5247576622089390;Thg9-21;379;YES;1;$13400;Thg4-05;2014;;
2632;1852;Mastercard;Credit;5911319900289830;Thg4-21;37;YES;2;$21600;Thg4-10;2010;;
1463;1231;Mastercard;Debit;5058769177189800;Thg2-20;12;NO;1;$9090;Thg2-20;2020;;
5679;970;Visa;Debit;4682877628388630;Thg2-23;846;NO;1;$25942;Thg11-12;2012;;
1012;970;Mastercard;Credit;5882842508952740;Thg7-19;614;YES;2;$10700;Thg2-03;2013;;
1464;970;Mastercard;Credit;5637149260486790;Thg7-22;630;YES;2;$4900;Thg2-20;2020;;
1465;381;Mastercard;Credit;5115700923413240;Thg4-22;587;NO;1;$18100;Thg2-20;2020;;
388;1134;Amex;Credit;324640473359364;Thg3-24;659;YES;2;$7200;Thg1-20;2020;;
3708;1296;Mastercard;Debit;5033428838471720;Thg2-20;546;YES;2;$22660;Thg7-04;2007;;
3087;1296;Discover;Credit;6969946254132650;Thg12-22;588;YES;1;$19800;Thg5-11;2011;;
67;1296;Mastercard;Credit;5181226307106930;Thg11-24;820;YES;2;$15500;Thg1-05;2014;;
80;1296;Visa;Debit (Prepaid);4310689470082080;Thg6-23;458;YES;1;$13;Thg1-05;2008;;
3665;1296;Mastercard;Debit;5051066154001740;Thg6-21;526;YES;2;$4317;Thg7-01;2011;;
2014;1880;Mastercard;Debit;5456915066505060;Thg12-21;553;NO;1;$14719;Thg3-00;2008;;
4906;1880;Mastercard;Debit;5132664334960880;Thg5-21;593;YES;1;$9532;Thg9-17;2017;;
3757;1880;Mastercard;Credit;5752873844240560;Thg3-20;486;YES;1;$10900;Thg7-06;2014;;
5365;322;Mastercard;Credit;5494228198326750;Thg9-24;428;YES;2;$6200;Thg11-01;2012;;
5425;322;Mastercard;Debit;5789639625525450;Thg12-12;43;YES;2;$2903;Thg11-05;2011;;
5758;322;Mastercard;Debit;5392957769023380;Thg10-20;803;YES;2;$4355;Thg12-99;2010;;
5482;461;Mastercard;Debit;5182820825620430;Thg4-21;126;YES;1;$28963;Thg11-07;2012;;
3172;461;Mastercard;Debit;5102353988152900;Thg12-22;667;YES;2;$20913;Thg5-16;2016;;
1209;461;Mastercard;Debit;5033135709911480;Thg7-24;170;YES;1;$23344;Thg2-10;2010;;
5313;461;Mastercard;Debit;5611522756791990;Thg1-20;882;YES;2;$33642;Thg10-16;2016;;
4762;1165;Mastercard;Debit;5037404409791940;Thg1-22;681;YES;1;$14695;Thg9-10;2011;;
126;1448;Mastercard;Credit;5571363047071890;Thg9-23;510;YES;1;$13200;Thg1-07;2015;;
4685;1448;Visa;Debit;4083033843851770;Thg1-20;173;YES;1;$29950;Thg9-08;2013;;
5907;1448;Visa;Credit;4829916759482890;Thg7-24;768;YES;2;$4600;Thg12-07;2011;;
2428;1288;Mastercard;Debit;5458492483408540;Thg12-22;92;YES;1;$10051;Thg4-02;2011;;
1013;1288;Mastercard;Debit;5879094230635420;Thg12-15;729;YES;2;$9796;Thg2-03;2013;;
5145;1178;Mastercard;Debit;5769435406360320;Thg10-21;957;YES;1;$17826;Thg10-09;2009;;
5854;1178;Mastercard;Debit;5588799529406910;Thg11-24;778;YES;1;$19086;Thg12-06;2009;;
5296;1178;Visa;Debit;4410685608952630;Thg6-24;265;YES;2;$17345;Thg10-14;2014;;
1327;1178;Visa;Debit;4470822684089910;Thg9-20;923;YES;2;$17976;Thg2-13;2013;;
383;1178;Visa;Debit;4804338444306720;Thg1-22;279;YES;2;$16447;Thg1-19;2019;;
5129;1391;Visa;Debit;4194362281636450;Thg10-24;271;YES;2;$29573;Thg10-08;2009;;
5995;1391;Mastercard;Debit (Prepaid);5436469451844820;Thg12-21;48;YES;2;$98;Thg12-10;2010;;
4107;1391;Mastercard;Debit;5648865641388290;Thg8-19;71;YES;2;$2559;Thg8-02;2012;;
36;1391;Mastercard;Debit;5914243757284140;Thg10-12;436;YES;2;$6552;Thg1-03;2010;;
445;838;Mastercard;Credit;5193780952753620;Thg1-21;591;YES;2;$13800;Thg1-20;2020;;
1466;54;Mastercard;Debit;5957925302951750;Thg8-20;746;YES;1;$16375;Thg2-20;2020;;
749;54;Visa;Debit;4557061225558440;Thg5-23;780;YES;1;$14213;Thg1-20;2020;;
1772;54;Visa;Debit (Prepaid);4883222888293060;Thg9-20;2;YES;1;$73;Thg2-20;2020;;
3801;1452;Mastercard;Debit;5476407228285230;Thg11-22;688;YES;2;$53466;Thg7-07;2013;;
282;1602;Visa;Credit;4698943729070490;Thg9-20;450;YES;1;$6600;Thg1-11;2013;;
6105;1602;Mastercard;Credit;5579147219556300;Thg6-22;806;NO;2;$7200;Thg12-15;2015;;
446;1938;Mastercard;Debit;5099614207935760;Thg11-20;856;YES;1;$2868;Thg1-20;2020;;
422;1938;Discover;Credit;6177503172021500;Thg5-24;97;YES;1;$3400;Thg1-20;2020;;
5231;1492;Mastercard;Debit;5188130978534930;Thg1-22;446;YES;1;$12915;Thg10-11;2013;;
2615;1492;Visa;Debit (Prepaid);4860320285002450;Thg12-23;366;YES;2;$84;Thg4-09;2017;;
2776;1492;Discover;Credit;6417599205270840;Thg7-21;504;YES;2;$17600;Thg4-18;2018;;
5452;1492;Mastercard;Debit;5516722949603670;Thg12-12;621;YES;1;$31542;Thg11-06;2009;;
3563;1492;Mastercard;Debit;5891053637541510;Thg2-22;362;YES;2;$23049;Thg6-13;2013;;
6134;1492;Visa;Debit;4222570131769030;Thg5-20;141;YES;1;$29734;Thg12-17;2017;;
4818;1492;Visa;Credit;4453742478192140;Thg1-20;346;YES;2;$27000;Thg9-11;2016;;
2171;1492;Mastercard;Debit (Prepaid);5335984658439100;Thg11-22;320;YES;1;$18;Thg3-08;2010;;
6106;688;Mastercard;Debit;5708150083756690;Thg4-23;824;YES;1;$17848;Thg12-15;2015;;
3042;688;Mastercard;Debit;5238684130320060;Thg11-22;870;NO;1;$25563;Thg5-10;2010;;
5209;688;Visa;Credit;4740880792169370;Thg4-20;168;YES;2;$12000;Thg10-10;2010;;
1296;688;Amex;Credit;361648729239104;Thg11-18;709;NO;2;$6600;Thg2-12;2012;;
389;749;Amex;Credit;363305614201313;Thg9-23;943;NO;1;$5600;Thg1-20;2020;;
1773;749;Visa;Debit;4360859456629850;Thg11-22;428;YES;3;$11873;Thg2-20;2020;;
1467;749;Mastercard;Credit;5498016831726770;Thg2-20;871;YES;1;$7200;Thg2-20;2020;;
1395;643;Amex;Credit;381572912003735;Thg8-24;145;YES;1;$10000;Thg2-20;2020;;
5597;643;Mastercard;Credit;5079302523329050;Thg4-23;381;YES;2;$500;Thg11-10;2010;;
1468;1219;Mastercard;Debit;5546998350637120;Thg2-20;718;YES;1;$22697;Thg2-20;2020;;
2309;1219;Mastercard;Credit;5326031764905960;Thg8-23;437;YES;1;$18000;Thg3-13;2013;;
3466;1219;Mastercard;Debit;5096150037217370;Thg10-24;862;YES;1;$32903;Thg6-10;2010;;
2804;1198;Visa;Debit;4489873116412360;Thg8-21;547;YES;2;$12764;Thg5-99;2010;;
1388;1198;Mastercard;Credit;5621725368325860;Thg10-22;60;YES;1;$6300;Thg2-19;2019;;
4660;898;Mastercard;Debit;5923138803280580;Thg2-22;934;YES;2;$7541;Thg9-08;2013;;
3356;898;Visa;Debit;4447989421793040;Thg3-22;995;YES;2;$1266;Thg6-07;2012;;
4870;898;Mastercard;Credit;5000307662634780;Thg4-20;263;NO;1;$9500;Thg9-14;2014;;
3467;882;Mastercard;Debit;5707305515533510;Thg4-20;203;YES;2;$1837;Thg6-10;2010;;
1079;882;Mastercard;Debit;5864987017850550;Thg8-23;258;YES;2;$17453;Thg2-06;2008;;
2977;348;Visa;Debit;4228885239928180;Thg10-13;543;NO;1;$28283;Thg5-08;2012;;
3073;348;Visa;Credit;4210237285941910;Thg4-20;160;YES;1;$13500;Thg5-10;2012;;
3554;348;Visa;Credit;4877073763902890;Thg7-14;786;YES;2;$13300;Thg6-12;2012;;
2597;633;Mastercard;Debit;5558040779986500;Thg9-21;69;YES;2;$17941;Thg4-09;2009;;
3489;1493;Visa;Credit;4642496218651970;Thg4-18;594;YES;1;$14400;Thg6-10;2012;;
4003;1493;Visa;Credit;4244401907291510;Thg4-20;120;YES;1;$4400;Thg7-12;2012;;
1469;1493;Mastercard;Credit;5157439545898690;Thg3-20;657;YES;1;$13000;Thg2-20;2020;;
1774;1493;Visa;Debit;4079516725179260;Thg4-23;72;YES;2;$22701;Thg2-20;2020;;
1470;1161;Mastercard;Credit;5597117503471640;Thg8-24;934;NO;1;$16100;Thg2-20;2020;;
1471;1161;Mastercard;Debit;5808372218918200;Thg9-23;138;YES;2;$7629;Thg2-20;2020;;
2691;217;Mastercard;Debit;5565497732362120;Thg3-22;430;NO;1;$16538;Thg4-12;2012;;
174;217;Visa;Debit;4072893581482200;Thg12-20;578;YES;2;$22746;Thg1-08;2010;;
1364;217;Mastercard;Debit;5161929618424760;Thg7-16;743;YES;1;$9737;Thg2-16;2016;;
1266;217;Mastercard;Credit;5359358098670030;Thg7-19;428;YES;1;$6500;Thg2-11;2014;;
1267;217;Mastercard;Debit;5093514487076210;Thg6-20;889;YES;2;$2650;Thg2-11;2013;;
207;217;Visa;Credit;4409790595650710;Thg5-12;839;YES;2;$8200;Thg1-09;2011;;
5448;217;Amex;Credit;373325875666765;Thg1-22;204;YES;2;$6200;Thg11-06;2013;;
5449;1877;Amex;Credit;366837170672753;Thg1-21;803;YES;2;$22600;Thg11-06;2014;;
2107;1877;Mastercard;Debit;5260255791659840;Thg5-24;428;YES;2;$6940;Thg3-06;2009;;
2398;1877;Mastercard;Debit;5911939393457820;Thg3-24;410;YES;2;$23408;Thg4-96;2008;;
5414;1877;Visa;Credit;4226284680001630;Thg9-22;966;YES;2;$9700;Thg11-04;2007;;
3758;668;Mastercard;Debit;5624997997810580;Thg6-24;992;NO;2;$10538;Thg7-06;2006;;
4097;668;Mastercard;Debit;5752209560237460;Thg3-23;385;YES;2;$6853;Thg8-01;2006;;
5778;668;Mastercard;Debit;5470018669871080;Thg10-20;598;YES;2;$607;Thg12-02;2010;;
4318;668;Mastercard;Credit;5764603958082860;Thg8-21;397;YES;1;$0;Thg8-10;2010;;
5015;668;Visa;Debit;4378354586828460;Thg6-21;644;YES;2;$8253;Thg10-04;2011;;
750;533;Visa;Debit;4415203972868490;Thg9-20;847;YES;2;$8492;Thg1-20;2020;;
242;203;Visa;Credit;4716309780327850;Thg7-22;275;YES;1;$9100;Thg1-10;2010;;
3966;203;Mastercard;Credit;5175414290540890;Thg4-22;497;NO;2;$2600;Thg7-11;2011;;
5375;203;Mastercard;Credit;5079431552272490;Thg5-24;813;NO;1;$7300;Thg11-02;2010;;
5166;1738;Visa;Credit;4841586209388610;Thg8-20;207;YES;1;$15000;Thg10-09;2009;;
1472;1738;Mastercard;Credit;5133341979041600;Thg4-24;497;YES;2;$18700;Thg2-20;2020;;
751;1738;Visa;Debit;4044685132149960;Thg5-21;579;YES;1;$21458;Thg1-20;2020;;
5623;1738;Visa;Credit;4825181289428260;Thg4-20;635;NO;1;$15700;Thg11-10;2014;;
6099;713;Mastercard;Debit;5533057740649370;Thg1-20;13;YES;2;$20765;Thg12-14;2014;;
1473;713;Mastercard;Debit;5137811039972620;Thg6-22;170;NO;2;$18101;Thg2-20;2020;;
1775;713;Visa;Credit;4409545480052950;Thg11-24;528;YES;1;$8400;Thg2-20;2020;;
447;713;Mastercard;Debit;5169705466479210;Thg3-20;66;YES;1;$1737;Thg1-20;2020;;
1474;1631;Mastercard;Credit;5782138554730430;Thg2-20;217;YES;2;$20900;Thg2-20;2020;;
1776;1631;Visa;Credit;4450097042295690;Thg11-21;601;YES;1;$23700;Thg2-20;2020;;
448;1631;Mastercard;Credit;5298079382002760;Thg11-21;989;YES;1;$17500;Thg1-20;2020;;
5978;1487;Visa;Debit;4911894810892310;Thg6-24;769;YES;1;$26083;Thg12-09;2009;;
2978;1487;Visa;Debit;4394014058373530;Thg10-22;943;YES;1;$31589;Thg5-08;2008;;
4946;1487;Visa;Credit;4984110253172320;Thg6-21;453;YES;2;$24200;Thg10-00;2013;;
1475;1265;Mastercard;Debit;5658875071888530;Thg2-20;190;YES;2;$18321;Thg2-20;2020;;
5376;370;Mastercard;Debit;5377126168537130;Thg10-22;94;YES;2;$7551;Thg11-02;2010;;
4127;370;Mastercard;Debit;5606824501502070;Thg6-14;451;YES;1;$15377;Thg8-04;2011;;
5093;370;Visa;Debit;4501704511432200;Thg3-23;324;YES;1;$12990;Thg10-07;2016;;
3490;370;Visa;Debit;4015096339812700;Thg2-23;494;YES;1;$8509;Thg6-10;2010;;
5702;1014;Visa;Debit;4467199760802870;Thg11-14;176;YES;1;$96907;Thg11-14;2014;;
2200;1014;Visa;Credit;4081474027835140;Thg7-15;45;YES;1;$43900;Thg3-08;2013;;
5436;1014;Visa;Debit (Prepaid);4868297041449160;Thg10-20;440;YES;2;$76;Thg11-05;2007;;
449;290;Mastercard;Debit;5843714671989150;Thg1-20;533;YES;2;$50915;Thg1-20;2020;;
1777;290;Visa;Debit;4052306795072860;Thg12-21;369;YES;2;$31767;Thg2-20;2020;;
3862;985;Visa;Credit;4229889369220690;Thg4-24;82;YES;2;$13200;Thg7-08;2010;;
1268;985;Mastercard;Credit;5936949471946670;Thg10-22;372;YES;2;$16000;Thg2-11;2012;;
752;985;Visa;Debit;4748458102584200;Thg7-24;223;YES;2;$18132;Thg1-20;2020;;
2704;985;Visa;Credit;4862788591864790;Thg2-19;466;YES;1;$300;Thg4-12;2012;;
2808;135;Mastercard;Debit;5736838327060440;Thg11-22;714;YES;2;$2236;Thg5-00;2015;;
4791;135;Visa;Debit;4528854599819260;Thg8-19;451;YES;2;$21591;Thg9-10;2010;;
1476;307;Mastercard;Debit;5956798767354530;Thg4-20;927;YES;2;$11521;Thg2-20;2020;;
753;307;Visa;Credit;4949830998579620;Thg6-20;561;NO;1;$8600;Thg1-20;2020;;
4112;1783;Amex;Credit;323782494048404;Thg3-20;659;YES;1;$9800;Thg8-03;2010;;
1154;1783;Visa;Credit;4172882144788970;Thg3-12;902;YES;2;$11300;Thg2-08;2009;;
2598;1783;Mastercard;Credit;5153494647482340;Thg10-19;492;YES;1;$8400;Thg4-09;2011;;
10;1783;Mastercard;Debit;5513208341097350;Thg12-23;789;YES;1;$16597;Thg1-99;2009;;
4655;1783;Amex;Credit;316138720673532;Thg9-20;876;YES;2;$9400;Thg9-08;2008;;
5908;1321;Visa;Debit;4709941855155410;Thg12-08;122;YES;1;$18702;Thg12-07;2007;;
3357;1511;Visa;Debit;4725438629956460;Thg6-22;675;YES;1;$24806;Thg6-07;2007;;
5502;1511;Visa;Debit;4992990568824240;Thg5-23;457;YES;1;$19856;Thg11-07;2011;;
1238;900;Visa;Debit (Prepaid);4580252759299280;Thg2-21;397;YES;2;$68;Thg2-10;2010;;
